"type", "subtype", "cert", "date.documented", "onset", "terminus", "periodical.id", "periodical.title"
"lifeCycle","CP","","1914-09-11","","","oape:349","Lisān al-Ḥāl"
"censorship","PR","","1895-03-18","","","oclc:792755292","Lubnān"
"censorship","S","","1911-10-21","","","NA","Lātūrkī"
"censorship","P","","1900-01-02","","","oape:1205","Makārim al-Akhlāq al-Islāmiyya"
"censorship","BI","","1909-11-20","","","NA","Mashrūṭiyāt"
"censorship","P","","1907-11-23","","","oape:1726","Mawārid al-Ḥikma"
"censorship","P","","1908-08-13","","","oape:1726","Mawārid al-Ḥikma"
"censorship","P","","1886-10-25","","","oape:752","Mirʾāt al-Akhlāq"
"censorship","BI","","","","","oape:578","Mirʾāt al-Aḥwāl"
"start","1","","1879-03-10","","","oape:3712","Mirʾāt al-Sharq"
"censorship","P","","1910-08-16","","","oape:1802","Miṣbāḥ al-Sharq"
"censorship","P","","1909-08-02","","","oape:1711","Murshid al-Umma"
"censorship","PR","","1914-04-06","","","oape:2179","Nahr al-ʿĀṣī"
"censorship","BI","","1909-06-28","","","NA","Nahḍa al-ʿArab"
"censorship","P","","1900-05-28","","","oclc:777083173","Nūr al-Islām"
"censorship","S","","1899-12-02","","","oape:3319","Rawḍat al-Maʿārif"
"censorship","P","","","","","oape:492","Rawḍat al-Maʿārif"
"censorship","P","","1890-07-21","","","oape:1555","Rawḍat al-Shām"
"censorship","P","","1909-01-02","","","NA","Rawḍat al-Ṣaḥḥa"
"censorship","P","","1888-04-11","","","NA","Riyāḥāt al-Afkār"
"censorship","P","","1900-02-16","","","NA","Ruġbet"
"censorship","P","","1890-05-30","","","NA","Ruḥta al-Shām"
"lifeCycle","1","","1900-07-16","","","NA","Rāyat Ṣahiyūn"
"censorship","S","","1890-04-30","","","oape:815","Rūḥān al-Shām"
"lifeCycle","1","","1911-04-20","","","oape:1872","Sayf al-Ḥaqq"
"censorship","BI","","1909-08-30","","","NA","Ser Basti"
"censorship","S","","1911-10-28","","","NA","Shahrāʾ"
"censorship","BI","","1911-04-29","","","NA","Shams"
"lifeCycle","1","","1910-08-03","","","oape:1799","al-Shams al-Ittiḥād"
"censorship","S","","1912-08-08","","","NA","Silāḥ"
"censorship","W","","1904-02-15","","","NA","Some newspapers"
"censorship","BI","","1890-03-12","","","NA","Sur Hintak"
"censorship","P","","1875-04-20","","","oclc:792755216","Thamarāt al-Funūn"
"lifeCycle","Gap","","1877-10-11","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","Gap","","","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1883-02-19","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1887-07-18","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1889-09-23","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","Gap","","1892-08-15","1892-06-28","1892-08-14","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1894-04-23","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1894-05-15","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","S","","1896-10-28","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1899-06-07","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1901-01-02","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","BI","","1901-02-18","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","S","high","1901-12-03","","1901-12-15","oclc:792755216","Thamarāt al-Funūn"
"censorship","S","","1903-04-07","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","W","","1904-04-18","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","S","high","1904-09-15","","1904-10-30","oclc:792755216","Thamarāt al-Funūn"
"censorship","PR","","1904-11-07","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","S","high","1904-11-14","1904-11-15","1905-02-26","oclc:792755216","Thamarāt al-Funūn"
"censorship","PR","","1905-02-27","","","oclc:792755216","Thamarāt al-Funūn"
"lifeCycle","CP","","1908-11-09","","","oclc:792755216","Thamarāt al-Funūn"
"censorship","P","","1888-03-26","","","NA","Unknown paper"
"censorship","P","","1878-11-26","","","NA","Unknown paper and press"
"censorship","W","","1882-07-18","","","NA","a number / all newspapers"
"censorship","W","","1884-01-03","","","NA","a number / all newspapers"
"censorship","BI","","1877-11-22","","","oclc:508226561","al-Ahrām"
"censorship","BI","","1877-12-27","","","oclc:508226561","al-Ahrām"
"censorship","Trial","","1910-08-20","","","oape:1790","Lisān al-Ahālī"
"censorship","P","","1910-10-20","","","oape:1826","al-Anīs"
"censorship","S","high","1898-04-29","","","oape:82","al-Arz"
"censorship","PR","","1898-06-06","","","oape:82","al-Arz"
"lifeCycle","1","","1909-06-02","","","oape:1703","al-Ayyām"
"censorship","S","","1894-01-15","","","oape:79","al-Aḥwāl"
"censorship","W","","1894-04-26","","","oape:79","al-Aḥwāl"
"censorship","S","","1895-01-21","","","oape:79","al-Aḥwāl"
"censorship","S","high","1897-06-03","1897-06-04","","oape:79","al-Aḥwāl"
"censorship","PR","","1897-06-05","","","oape:79","al-Aḥwāl"
"censorship","W","","1898-08-04","","","oape:79","al-Aḥwāl"
"censorship","W","","1900-03-16","","","oape:79","al-Aḥwāl"
"censorship","W","","1900-05-24","","","oape:79","al-Aḥwāl"
"censorship","S","high","1900-07-14","","","oape:79","al-Aḥwāl"
"censorship","PR","","1900-07-21","","","oape:79","al-Aḥwāl"
"censorship","W","","1900-10-27","","","oape:79","al-Aḥwāl"
"censorship","S","","1901-05-25","","","oape:79","al-Aḥwāl"
"censorship","W","","1901-11-29","","","oape:79","al-Aḥwāl"
"censorship","S","","1901-12-03","","","oape:79","al-Aḥwāl"
"censorship","S","","1902-01-18","","","oape:79","al-Aḥwāl"
"censorship","S","high","1904-10-01","1904-11-15","1904-12-16","oape:79","al-Aḥwāl"
"censorship","PR","","1904-12-14","","","oape:79","al-Aḥwāl"
"censorship","Trial","","1910-09-24","","","oape:79","al-Aḥwāl"
"censorship","S","high","1910-09-26","","","oape:79","al-Aḥwāl"
"lifeCycle","1","","1911-07-03","","","oape:1892","al-Balāgh"
"censorship","Trial","","1911-10-19","","","oape:1892","al-Balāgh"
"censorship","P","","1908-12-07","","","NA","al-Band"
"censorship","S","","1876-06-01","","","oclc:472081984","al-Bashīr"
"censorship","W","","1880-12-11","","","oclc:472081984","al-Bashīr"
"censorship","W","","1881-09-12","","","oclc:472081984","al-Bashīr"
"censorship","W","","1882-07-20","","","oclc:472081984","al-Bashīr"
"censorship","W","","1884-09-04","","","oclc:472081984","al-Bashīr"
"censorship","W","","1884-09-08","","","oclc:472081984","al-Bashīr"
"censorship","W","","1888-03-29","","","oclc:472081984","al-Bashīr"
"censorship","S","high","1889-05-20","1889-05-11","1889-06-08","oclc:472081984","al-Bashīr"
"censorship","PR","","1890-04-07","","","oclc:472081984","al-Bashīr"
"censorship","S","high","1892-10-06","","1892-11-08","oclc:472081984","al-Bashīr"
"censorship","W","","1894-04-23","","","oclc:472081984","al-Bashīr"
"censorship","W","","1898-08-04","","","oclc:472081984","al-Bashīr"
"censorship","W","","1901-02-14","","","oclc:472081984","al-Bashīr"
"censorship","S","","1901-12-03","","","oclc:472081984","al-Bashīr"
"censorship","P","","1911-04-29","","","oape:1882","al-Bāriqa"
"lifeCycle","1","","1911-04-29","","","oape:1882","al-Bāriqa"
"censorship","Trial","","1910-06-26","","","NA","al-Bāshqīm"
"censorship","RP","","1913-12-01","","","oape:3470","al-Dustūr"
"censorship","P","","1908-10-26","","","oape:3399","al-Dustūr"
"censorship","S","","1891-07-06","","","oape:697","al-Fallāḥ"
"censorship","RP","","1912-09-28","","","oape:1983","al-Fatā al-ʿArabī"
"censorship","S","high","1913-11-01","","","oape:1983","al-Fatā al-ʿArabī"
"lifeCycle","1","","1910-04-15","","","oape:1396","al-Gharāʾib"
"censorship","S","","1912-08-16","","","NA","al-Ghālib"
"censorship","RP","","1910-06-11","","","oape:1733","Hilāl ʿUthmānī"
"censorship","S","","1912-08-15","","","oape:278","al-Hilāl al-ʿUthmānī"
"censorship","S","","1910-07-01","","","oape:1769","al-Intiqād"
"censorship","P","","1899-12-18","","","oclc:1086411815","al-Iqbāl"
"censorship","S","high","1903-09-13","","","oclc:1086411815","al-Iqbāl"
"censorship","S","high","1904-02-14","","","oclc:1086411815","al-Iqbāl"
"censorship","PR","","1904-02-14","","","oclc:1086411815","al-Iqbāl"
"censorship","Trial","","1909-10-07","","","oclc:1086411815","al-Iqbāl"
"censorship","P","","1908-09-21","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī"
"censorship","Trial","","1909-12-31","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī"
"censorship","Trial","","1911-10-19","","","oclc:42900564","al-Ittiḥād al-ʿUthmānī"
"censorship","S","","1914-01-01","","","oape:1978","al-Iʿtilāf al-ʿUthmānī"
"lifeCycle","1","","1909-06-27","","","oape:1701","al-Iṣlāḥ al-Ḥijāzī"
"censorship","RP","","1875-10-05","","","oape:608","al-Janna"
"censorship","S","","1879-03-24","","","oape:608","al-Janna"
"censorship","S","","1881-09-19","","","oape:608","al-Janna"
"censorship","W","","1881-09-19","","","oape:608","al-Janna"
"censorship","W","","1881-12-19","","","oape:608","al-Janna"
"censorship","S","","1882-07-19","","","oape:608","al-Janna"
"censorship","S","high","1884-06-19","1884-06-03","1884-08-02","oape:608","al-Janna"
"censorship","PR","","1884-11-17","","","oape:608","al-Janna"
"censorship","W","","1885-09-17","","","oape:608","al-Janna"
"censorship","S","high","1885-10-18","","","oape:608","al-Janna"
"censorship","BI","","1911-04-29","","","NA","al-Jarīda al-Adabiyya"
"censorship","BI","","1878-07-11","","","oclc:695008193","al-Jawāʾib"
"censorship","PR","","1884-11-17","1884-09-16","1884-11-14","oclc:987291181","al-Jinān"
"censorship","W","","1885-09-17","","","oclc:987291181","al-Jinān"
"lifeCycle","1","","1910-03-18","","","oape:524","al-Laṭāʾif al-Ahliyya"
"censorship","P","","1909-03-22","","","NA","al-Lubnāniyya"
"censorship","S","","","","","NA","al-Madīna"
"censorship","P","","1910-08-23","","","oape:526","al-Majalla al-Sūriyya"
"start","1","","1901-01-28","","","oape:1240","al-Majalla al-Ṣiḥḥiyya"
"censorship","W","","1901-03-01","","","oape:3315","al-Manār"
"censorship","P","","1914-05-29","","","oape:3472","al-Mirʾāt"
"censorship","S","","1897-07-19","","","oape:1028","al-Maʿlūmāt"
"censorship","W","","1899-06-15","","","oclc:902810773","al-Maḥabba"
"censorship","W","","1901-03-01","","","oclc:902810773","al-Maḥabba"
"censorship","S","","1903-03-08","","","oclc:902810773","al-Maḥabba"
"censorship","S","high","1907-12-03","","","oclc:902810773","al-Maḥabba"
"censorship","PR","","1908-01-04","","","oclc:902810773","al-Maḥabba"
"censorship","P","","1911-07-10","","","oape:1896","al-Muḥāmī"
"lifeCycle","1","","1909-02-01","","","oclc:1034548778","al-Mufīd"
"censorship","Trial","","1910-09-26","","","oclc:1034548778","al-Mufīd"
"censorship","S","high","1912-05-01","","","oclc:1034548778","al-Mufīd"
"censorship","S","","1914-01-01","","","oclc:1034548778","al-Mufīd"
"censorship","P","","1910-07-26","","","oape:3433","al-Muntakhabāt"
"lifeCycle","1","","1910-09-07","","","oape:1809","al-Muntakhab"
"censorship","P","","1908-11-26","","","oclc:70845599","al-Muqtabas"
"lifeCycle","1","","1908-12-17","","","oclc:70845599","al-Muqtabas"
"censorship","S","high","1909-09-17","","","oclc:70845599","al-Muqtabas"
"censorship","RP","","1910-03-01","","","oclc:70845599","al-Muqtabas"
"censorship","Trial","","1909-05-01","","","oclc:70845599","al-Muqtabas"
"censorship","S","high","1912-04-16","1912-04-17","1912-08-08","oclc:70845599","al-Muqtabas"
"censorship","RP","","1912-08-08","","","oclc:70845599","al-Muqtabas"
"censorship","S","high","1913-09-25","","","oclc:70845599","al-Muqtabas"
"censorship","Trial","","1913-10-22","","","oclc:70845599","al-Muqtabas"
"censorship","RP","","1914-02-01","","","oclc:70845599","al-Muqtabas"
"censorship","S","high","1914-04-15","","1915-02-11","oclc:70845599","al-Muqtabas"
"censorship","RP","","1915-02-11","","","oclc:70845599","al-Muqtabas"
"lifeCycle","CP","","1876-06-22","","","oclc:931941685","al-Muqtaṭaf"
"censorship","RP","","1877-05-31","","","oclc:931941685","al-Muqtaṭaf"
"censorship","W","","1884-09-08","","","oclc:931941685","al-Muqtaṭaf"
"lifeCycle","1","","1908-12-28","","","oclc:1034549493","al-Murāqib"
"censorship","Trial","","1897-07-12","","","oape:918","al-Mushīr"
"censorship","P","","1908-08-24","","","oape:1383","al-Musāwāt"
"censorship","BI","","1910-08-27","","","oape:809","al-Muʾayyad"
"censorship","PI","","1911-10-21","","","oape:809","al-Muʾayyad"
"censorship","BI","","1913-03-05","","","oape:809","al-Muʾayyad"
"lifeCycle","1","","1911-04-20","","","NA","al-Muḥayṭ"
"censorship","P","","1908-11-09","","","oape:3400","al-Nafāʾis"
"censorship","Trial","","1910-08-20","","","oape:1370","al-Nafīr al-ʿUthmānī"
"censorship","Trial","","1910-03-29","","","oape:2590","al-Nafīr"
"censorship","S","high","1890-01-15","","1890-09-01","oclc:792755092","al-Nashra al-Usbūʿiyya"
"censorship","PR","high","1890-09-15","","1890-09-01","oclc:792755092","al-Nashra al-Usbūʿiyya"
"censorship","Trial","","1911-05-30","","","oape:272","al-Naṣīr"
"censorship","P","","1909-07-17","","","NA","al-Nāqid al-Sūrī"
"censorship","RP","","1913-09-30","","","oclc:792756309","al-Qabas"
"censorship","P","","1908-08-24","","","NA","al-Qusṭān"
"start","RP","","1895-08-25","","","oape:2685","al-Qāhira"
"censorship","Trial","","1911-10-19","","","NA","al-Rafāʾīl al-Faransawiyya"
"censorship","P","","1909-03-22","","","oape:2766","al-Rafīq"
"censorship","P","","1908-11-09","","","NA","al-Rawḍat al-Shām"
"lifeCycle","1","","1910-03-31","","","oape:40","al-Raʾī al-ʿĀmm"
"censorship","Trial","","1911-10-19","","","oape:40","al-Raʾī al-ʿĀmm"
"lifeCycle","1","","1910-07-07","","","oape:545","al-Ruṣāfa"
"censorship","P","","1908-11-09","","","NA","al-Rāya al-ʿUthmāniyya"
"censorship","P","","1879-07-23","","","oape:174","al-Salām"
"lifeCycle","1","","1911-04-20","","","oclc:175311776","al-Shabība"
"censorship","P","","1877-05-24","","","oape:869","al-Shahbāʾ"
"censorship","S","high","1877-06-07","","","oape:869","al-Shahbāʾ"
"censorship","RP","","1877-12-20","","","oape:869","al-Shahbāʾ"
"censorship","S","","1878-02-28","","","oape:869","al-Shahbāʾ"
"censorship","P","","1899-11-20","","","oape:186","al-Shams"
"start","1","","1900-06-15","","","oape:186","al-Shams"
"censorship","P","","1909-05-22","","","oape:544","al-Sharq"
"lifeCycle","1","","1909-12-24","","","oape:544","al-Sharq"
"censorship","P","","1909-08-02","","","oape:1716","al-Shaʿb"
"censorship","P","","1879-07-11","","","oape:179","al-Shām"
"censorship","P","","1891-11-29","","","oape:179","al-Shām"
"censorship","P","","1892-06-20","","","oape:179","al-Shām"
"censorship","S","high","1902-10-15","","1903-02-23","oape:179","al-Shām"
"censorship","PR","","1903-02-23","1902-10-15","","oape:179","al-Shām"
"lifeCycle","CP","","1908-12-17","","","oape:179","al-Shām"
"censorship","P","","1908-09-20","","","NA","al-Takammul"
"censorship","P","","1906-06-11","","","NA","al-Talmīdh"
"censorship","P","","1908-10-26","","","oape:1619","al-Taqaddum"
"censorship","RP","","1875-10-05","","","oclc:259929318","al-Taqaddum"
"censorship","P","","1878-06-13","","","oclc:259929318","al-Taqaddum"
"censorship","W","","1881-11-14","","","oclc:259929318","al-Taqaddum"
"censorship","S","","1881-12-05","","","oclc:259929318","al-Taqaddum"
"censorship","S","","1882-06-20","","","oclc:259929318","al-Taqaddum"
"censorship","S","","1882-08-14","","","oclc:259929318","al-Taqaddum"
"censorship","W","","1883-08-23","","","oclc:259929318","al-Taqaddum"
"censorship","W","","1884-04-03","","","oclc:259929318","al-Taqaddum"
"censorship","S","high","1888-02-07","1888-02-13","1888-03-19","oclc:259929318","al-Taqaddum"
"censorship","RP","","1888-03-19","1888-02-13","","oclc:259929318","al-Taqaddum"
"censorship","P","","1908-10-26","","","oape:466","al-Thabāt"
"censorship","Trial","","1911-10-19","","","oape:466","al-Thabāt"
"censorship","PR","","1909-11-04","","","oape:3194","al-Umma"
"lifeCycle","1","","1909-12-04","","","oape:3194","al-Umma"
"censorship","P","","1908-10-12","","","oape:48","al-Waṭan"
"lifeCycle","CP","","1914-10-21","","","oclc:1034551122","al-Āthār"
"censorship","P","","","","","oape:1191","al-ʿAdl"
"censorship","S","","1910-06-13","","","oape:3408","al-ʿArab"
"censorship","S","high","1910-07-14","","","oape:3408","al-ʿArab"
"lifeCycle","1","","1911-04-20","","","oape:503","al-ʿArīs"
"lifeCycle","1","","1910-08-18","","","oclc:269216892","al-ʿAṣr al-Jadīd"
"censorship","P","","1908-09-20","","","oape:45","al-ʿAṣr al-Jadīd"
"censorship","BI","","1913-03-24","","","oclc:5164181","al-ʿUmrān"
"censorship","W","","1884-06-16","","","NA","al-ʿUrqūb"
"lifeCycle","1","","1910-08-07","","","oclc:644997575","al-Ḥaqāʾiq"
"lifeCycle","CP","","1913-08-31","","","oclc:644997575","al-Ḥaqāʾiq"
"censorship","S","","1878-01-31","","","oape:3298","al-Ḥaqīqa"
"censorship","S","","1913-06-16","","","oclc:1034550756","al-Ḥaqīqa"
"censorship","P","","1909-08-02","","","oape:3414","al-Ḥikma"
"censorship","P","","1910-06-06","","","oape:3414","al-Ḥikma"
"censorship","P","","1909-03-22","","","oape:3414","al-Ḥikma"
"censorship","P","","1911-03-14","","","oape:3586","al-Ḥuqūq"
"censorship","P","","1909-08-02","","","NA","al-Ḥurriya"
"censorship","S","","1911-10-19","","","oclc:783579394","al-Ḥāris"
"censorship","P","","1908-10-26","","","oape:3395","al-Ṣabāḥ"
"censorship","P","","1911-07-08","","","NA","al-Ṣadaq"
"censorship","P","","1901-09-07","","","oape:1252","al-Ṣakhra"
"censorship","P","","1895-02-10","","","oape:190","al-Ẓāhir"
"censorship","BI","","1904-01-01","","","NA","all Egyptian newspapers"
"censorship","S","","1885-03-30","","1885-06-25","NA","all newspapers"
"censorship","W","","1900-02-16","","","NA","all newspapers"
"censorship","W","","1878-02-07","","","NA","all newspapers"
"censorship","PI","","1913-09-06","","","NA","banned papers"
"censorship","PR","","1910-08-30","","","NA","İştirāk"
"censorship","RP","","1911-10-28","","","NA","ʿAlimdār"
"censorship","S","","1903-10-23","","","oclc:792755425","Ḥadīqat al-Akhbār"
"censorship","W","","1903-11-01","","","oclc:792755425","Ḥadīqat al-Akhbār"
"censorship","P","","1899-09-01","","","NA","Ḥawādis̱-i Müḳtebese"
"censorship","Trial","","1911-06-06","","","oape:1694","Ḥuṭṭ bi-l-Khurj"
"start","1","","1901-01-28","","","oape:1199","Ṣadā Lubnān"
"censorship","RP","","1912-05-02","","","oape:1970","Ṣadā al-Mufīd"
"censorship","S","high","1912-09-01","","","oape:1970","Ṣadā al-Mufīd"
"censorship","P","","1908-11-09","","","oape:493","Ṣadā al-Shahbāʾ"
"censorship","RP","","1910-08-15","","","oape:493","Ṣadā al-Shahbāʾ"
"censorship","S","","1912-08-16","","","NA","Ṭanīn"
"censorship","S","","1911-10-21","","","NA","Ṭanẓīmāt"
"censorship","S","","1895-08-26","","","oape:877","Ṭarābulus"
"censorship","S","","1895-10-07","","","oape:877","Ṭarābulus"
"censorship","S","high","1905-01-12","","","oape:877","Ṭarābulus"
"censorship","PR","","1905-04-03","","","oape:877","Ṭarābulus"
"censorship","P","","1898-01-03","","","NA","Ḍiyāʾ al-Albāb"
